PARTITION_ID,barrel,bullet,land,scan_id,unique_id
13,Barrel 1,Bullet 1,Land 1,Barrel 1-Bullet 1-Land 1,Land AA
12,Barrel 1,Bullet 1,Land 2,Barrel 1-Bullet 1-Land 2,Land AB
3,Barrel 1,Bullet 1,Land 3,Barrel 1-Bullet 1-Land 3,Land AC
3,Barrel 1,Bullet 1,Land 4,Barrel 1-Bullet 1-Land 4,Land AD
2,Barrel 1,Bullet 1,Land 5,Barrel 1-Bullet 1-Land 5,Land AE
13,Barrel 1,Bullet 1,Land 6,Barrel 1-Bullet 1-Land 6,Land AF
4,Barrel 1,Bullet 2,Land 1,Barrel 1-Bullet 2-Land 1,Land AC
19,Barrel 1,Bullet 2,Land 2,Barrel 1-Bullet 2-Land 2,Land AD
20,Barrel 1,Bullet 2,Land 3,Barrel 1-Bullet 2-Land 3,Land AE
20,Barrel 1,Bullet 2,Land 4,Barrel 1-Bullet 2-Land 4,Land AF
13,Barrel 1,Bullet 2,Land 5,Barrel 1-Bullet 2-Land 5,Land AA
20,Barrel 1,Bullet 2,Land 6,Barrel 1-Bullet 2-Land 6,Land AB
4,Barrel 10,Bullet 1,Land 1,Barrel 10-Bullet 1-Land 1,Land JA
10,Barrel 10,Bullet 1,Land 2,Barrel 10-Bullet 1-Land 2,Land JB
1,Barrel 10,Bullet 1,Land 3,Barrel 10-Bullet 1-Land 3,Land JC
15,Barrel 10,Bullet 1,Land 4,Barrel 10-Bullet 1-Land 4,Land JD
15,Barrel 10,Bullet 1,Land 5,Barrel 10-Bullet 1-Land 5,Land JE
12,Barrel 10,Bullet 1,Land 6,Barrel 10-Bullet 1-Land 6,Land JF
4,Barrel 10,Bullet 2,Land 1,Barrel 10-Bullet 2-Land 1,Land JA
5,Barrel 10,Bullet 2,Land 2,Barrel 10-Bullet 2-Land 2,Land JB
12,Barrel 10,Bullet 2,Land 3,Barrel 10-Bullet 2-Land 3,Land JC
10,Barrel 10,Bullet 2,Land 4,Barrel 10-Bullet 2-Land 4,Land JD
1,Barrel 10,Bullet 2,Land 5,Barrel 10-Bullet 2-Land 5,Land JE
12,Barrel 10,Bullet 2,Land 6,Barrel 10-Bullet 2-Land 6,Land JF
16,Barrel 2,Bullet 1,Land 1,Barrel 2-Bullet 1-Land 1,Land BA
1,Barrel 2,Bullet 1,Land 2,Barrel 2-Bullet 1-Land 2,Land BB
2,Barrel 2,Bullet 1,Land 3,Barrel 2-Bullet 1-Land 3,Land BC
14,Barrel 2,Bullet 1,Land 4,Barrel 2-Bullet 1-Land 4,Land BD
17,Barrel 2,Bullet 1,Land 5,Barrel 2-Bullet 1-Land 5,Land BE
17,Barrel 2,Bullet 1,Land 6,Barrel 2-Bullet 1-Land 6,Land BF
14,Barrel 2,Bullet 2,Land 1,Barrel 2-Bullet 2-Land 1,Land BE
5,Barrel 2,Bullet 2,Land 2,Barrel 2-Bullet 2-Land 2,Land BF
1,Barrel 2,Bullet 2,Land 3,Barrel 2-Bullet 2-Land 3,Land BA
16,Barrel 2,Bullet 2,Land 4,Barrel 2-Bullet 2-Land 4,Land BB
12,Barrel 2,Bullet 2,Land 5,Barrel 2-Bullet 2-Land 5,Land BC
5,Barrel 2,Bullet 2,Land 6,Barrel 2-Bullet 2-Land 6,Land BD
3,Barrel 3,Bullet 1,Land 1,Barrel 3-Bullet 1-Land 1,Land CA
5,Barrel 3,Bullet 1,Land 2,Barrel 3-Bullet 1-Land 2,Land CB
18,Barrel 3,Bullet 1,Land 3,Barrel 3-Bullet 1-Land 3,Land CC
18,Barrel 3,Bullet 1,Land 4,Barrel 3-Bullet 1-Land 4,Land CD
1,Barrel 3,Bullet 1,Land 5,Barrel 3-Bullet 1-Land 5,Land CE
14,Barrel 3,Bullet 1,Land 6,Barrel 3-Bullet 1-Land 6,Land CF
12,Barrel 3,Bullet 2,Land 1,Barrel 3-Bullet 2-Land 1,Land CA
12,Barrel 3,Bullet 2,Land 2,Barrel 3-Bullet 2-Land 2,Land CB
7,Barrel 3,Bullet 2,Land 3,Barrel 3-Bullet 2-Land 3,Land CC
9,Barrel 3,Bullet 2,Land 4,Barrel 3-Bullet 2-Land 4,Land CD
2,Barrel 3,Bullet 2,Land 5,Barrel 3-Bullet 2-Land 5,Land CE
13,Barrel 3,Bullet 2,Land 6,Barrel 3-Bullet 2-Land 6,Land CF
11,Barrel 4,Bullet 1,Land 1,Barrel 4-Bullet 1-Land 1,Land DA
2,Barrel 4,Bullet 1,Land 2,Barrel 4-Bullet 1-Land 2,Land DB
2,Barrel 4,Bullet 1,Land 3,Barrel 4-Bullet 1-Land 3,Land DC
4,Barrel 4,Bullet 1,Land 4,Barrel 4-Bullet 1-Land 4,Land DD
19,Barrel 4,Bullet 1,Land 5,Barrel 4-Bullet 1-Land 5,Land DE
17,Barrel 4,Bullet 1,Land 6,Barrel 4-Bullet 1-Land 6,Land DF
1,Barrel 4,Bullet 2,Land 1,Barrel 4-Bullet 2-Land 1,Land DC
19,Barrel 4,Bullet 2,Land 2,Barrel 4-Bullet 2-Land 2,Land DD
13,Barrel 4,Bullet 2,Land 3,Barrel 4-Bullet 2-Land 3,Land DE
13,Barrel 4,Bullet 2,Land 4,Barrel 4-Bullet 2-Land 4,Land DF
11,Barrel 4,Bullet 2,Land 5,Barrel 4-Bullet 2-Land 5,Land DA
19,Barrel 4,Bullet 2,Land 6,Barrel 4-Bullet 2-Land 6,Land DB
11,Barrel 5,Bullet 1,Land 1,Barrel 5-Bullet 1-Land 1,Land EA
3,Barrel 5,Bullet 1,Land 2,Barrel 5-Bullet 1-Land 2,Land EB
4,Barrel 5,Bullet 1,Land 3,Barrel 5-Bullet 1-Land 3,Land EC
11,Barrel 5,Bullet 1,Land 4,Barrel 5-Bullet 1-Land 4,Land ED
9,Barrel 5,Bullet 1,Land 5,Barrel 5-Bullet 1-Land 5,Land EE
20,Barrel 5,Bullet 1,Land 6,Barrel 5-Bullet 1-Land 6,Land EF
16,Barrel 5,Bullet 2,Land 1,Barrel 5-Bullet 2-Land 1,Land EF
1,Barrel 5,Bullet 2,Land 2,Barrel 5-Bullet 2-Land 2,Land EA
12,Barrel 5,Bullet 2,Land 3,Barrel 5-Bullet 2-Land 3,Land EB
9,Barrel 5,Bullet 2,Land 4,Barrel 5-Bullet 2-Land 4,Land EC
9,Barrel 5,Bullet 2,Land 5,Barrel 5-Bullet 2-Land 5,Land ED
20,Barrel 5,Bullet 2,Land 6,Barrel 5-Bullet 2-Land 6,Land EE
7,Barrel 6,Bullet 1,Land 1,Barrel 6-Bullet 1-Land 1,Land FA
18,Barrel 6,Bullet 1,Land 2,Barrel 6-Bullet 1-Land 2,Land FB
14,Barrel 6,Bullet 1,Land 3,Barrel 6-Bullet 1-Land 3,Land FC
15,Barrel 6,Bullet 1,Land 4,Barrel 6-Bullet 1-Land 4,Land FD
6,Barrel 6,Bullet 1,Land 5,Barrel 6-Bullet 1-Land 5,Land FE
3,Barrel 6,Bullet 1,Land 6,Barrel 6-Bullet 1-Land 6,Land FF
7,Barrel 6,Bullet 2,Land 1,Barrel 6-Bullet 2-Land 1,Land FA
10,Barrel 6,Bullet 2,Land 2,Barrel 6-Bullet 2-Land 2,Land FB
13,Barrel 6,Bullet 2,Land 3,Barrel 6-Bullet 2-Land 3,Land FC
3,Barrel 6,Bullet 2,Land 4,Barrel 6-Bullet 2-Land 4,Land FD
12,Barrel 6,Bullet 2,Land 5,Barrel 6-Bullet 2-Land 5,Land FE
1,Barrel 6,Bullet 2,Land 6,Barrel 6-Bullet 2-Land 6,Land FF
1,Barrel 7,Bullet 1,Land 1,Barrel 7-Bullet 1-Land 1,Land GA
10,Barrel 7,Bullet 1,Land 2,Barrel 7-Bullet 1-Land 2,Land GB
8,Barrel 7,Bullet 1,Land 3,Barrel 7-Bullet 1-Land 3,Land GC
15,Barrel 7,Bullet 1,Land 4,Barrel 7-Bullet 1-Land 4,Land GD
7,Barrel 7,Bullet 1,Land 5,Barrel 7-Bullet 1-Land 5,Land GE
5,Barrel 7,Bullet 1,Land 6,Barrel 7-Bullet 1-Land 6,Land GF
15,Barrel 7,Bullet 2,Land 1,Barrel 7-Bullet 2-Land 1,Land GE
2,Barrel 7,Bullet 2,Land 2,Barrel 7-Bullet 2-Land 2,Land GF
4,Barrel 7,Bullet 2,Land 3,Barrel 7-Bullet 2-Land 3,Land GA
14,Barrel 7,Bullet 2,Land 4,Barrel 7-Bullet 2-Land 4,Land GB
6,Barrel 7,Bullet 2,Land 5,Barrel 7-Bullet 2-Land 5,Land GC
12,Barrel 7,Bullet 2,Land 6,Barrel 7-Bullet 2-Land 6,Land GD
10,Barrel 8,Bullet 1,Land 1,Barrel 8-Bullet 1-Land 1,Land HA
20,Barrel 8,Bullet 1,Land 2,Barrel 8-Bullet 1-Land 2,Land HB
5,Barrel 8,Bullet 1,Land 3,Barrel 8-Bullet 1-Land 3,Land HC
2,Barrel 8,Bullet 1,Land 4,Barrel 8-Bullet 1-Land 4,Land HD
19,Barrel 8,Bullet 1,Land 5,Barrel 8-Bullet 1-Land 5,Land HE
6,Barrel 8,Bullet 1,Land 6,Barrel 8-Bullet 1-Land 6,Land HF
17,Barrel 8,Bullet 2,Land 1,Barrel 8-Bullet 2-Land 1,Land HD
6,Barrel 8,Bullet 2,Land 2,Barrel 8-Bullet 2-Land 2,Land HE
10,Barrel 8,Bullet 2,Land 3,Barrel 8-Bullet 2-Land 3,Land HF
15,Barrel 8,Bullet 2,Land 4,Barrel 8-Bullet 2-Land 4,Land HA
3,Barrel 8,Bullet 2,Land 5,Barrel 8-Bullet 2-Land 5,Land HB
18,Barrel 8,Bullet 2,Land 6,Barrel 8-Bullet 2-Land 6,Land HC
9,Barrel 9,Bullet 1,Land 1,Barrel 9-Bullet 1-Land 1,Land IA
