,source,barrel,bullet,land,score_left_rollapply,score_right_rollapply,score_left_rlo,score_right_rlo,score_left_quadratic,score_right_quadratic,Notes
1,Barrel 4/Bullet 2/HS44 - Barrel 4; Bullet 2; Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 4,Bullet 2,Land 1,2034.168151,214.4472347,-0.330010248,-0.615159061,-0.330010248,-0.615159061,
2,Barrel 10/Bullet 1/HS44 - Barrel 10; Bullet 1; Land 3 - Sneox1 - 20x - auto light left image +20 perc. x10- threshold 2 - resolution 4 - Marco Yepez.dat,Barrel 10,Bullet 1,Land 3,56.40819529,1295.972404,1.225057863,-21.32179048,23.91361642,-9.7937495,
3,Barrel 2/Bullet 1/HS44 - Barrel 2 - Bullet 1 - Land 2 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 2,Bullet 1,Land 2,11.79037122,139.9228894,6.810793827,-131.9632198,63.06812841,139.9228894,
4,Unknowns/Bullet 'G'/HS44 - Unknown; Bullet G; Land 1 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'G',Land 1,28.98164765,0,14.20058546,2.133583972,142.2478661,2.133583972,
5,Barrel 10/Bullet 2/HS44 - Barrel 10; Bullet 2; Land 5 - Sneox1 - 20x - auto light left image +20 perc. x10- threshold 2 - resolution 4 - Marco Yepez.dat,Barrel 10,Bullet 2,Land 5,34.78030608,119.5063652,6.561143961,-0.338331615,24.88362619,9.225233127,
6,Barrel 6/Bullet 2/HS44 - Barrel 6 - Bullet 2 - Land 6 - Sneox1 - 20x - auto light left image +20 perc. & x10 - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 6,Bullet 2,Land 6,53.66813975,2550.132101,3.155785233,3.337478931,63.07256888,562.3432368,
7,Barrel 5/Bullet 2/HS44 - Barrel 5 - Bullet 2 - Land 2 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 5,Bullet 2,Land 2,13.45294991,18.14084059,23.80416741,-157.0893657,17.20523161,12.47538669,
8,Unknowns/Bullet 'P'/HS44 - Unknown; Bullet P; Land 1 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'P',Land 1,17.14766886,1027.027362,-107.0865087,656.9874812,-102.8989787,673.4815376,
9,Barrel 7/Bullet 1/HS44 - Barrel 7; Bullet 1; Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Marco Yepez.dat,Barrel 7,Bullet 1,Land 1,3337.125442,0,233.5191314,-1.396151643,19.29658303,-1.396151643,
10,Barrel 3/Bullet 1/HS44 - Barrel 3; Bullet 1; Land 5 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 3,Bullet 1,Land 5,-562.7731151,0,-578.0133462,1.123784108,-562.7731151,65.05389236,
11,Barrel 2/Bullet 2/HS44 - Barrel 2 - Bullet 2 - Land 3 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 2,Bullet 2,Land 3,72.48685733,-119.9899644,11.87372124,-29.16014285,101.0956878,-29.16014285,
12,Barrel 8/Bullet 1/HS44 - Barrel 8 - Bullet 1 - Land 4 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 8,Bullet 1,Land 4,30.35860647,406.4774715,-148.6827848,4.258229726,-142.8781846,250.8952068,
13,Barrel 1/Bullet 1/HS44 - Barrel 1 - Bullet 1 - Land 5 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 1,Bullet 1,Land 5,38.21601614,-20.64298451,-0.65662675,-71.09298407,13.7167797,-52.2431007,
14,Unknowns/Bullet 'T'/HS44 - Unknown; Bullet T; Land 5 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'T',Land 5,-71.02448972,0,-21.9535873,3.531777802,58.00124509,33.46141137,
15,Barrel 7/Bullet 2/HS44 - Barrel 7 - Bullet 2 - Land 2 -Sneox2 - 20x - auto light left image + 20 perc. - Threshold 2 - Resolution 4 - Connor Hergenreter.dat,Barrel 7,Bullet 2,Land 2,-127.4828551,26.2637217,-50.68287833,-1.009269544,179.8384114,26.2637217,
16,Barrel 4/Bullet 1/HS44 - Barrel 4; Bullet1; Land 3 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 4,Bullet 1,Land 3,-47.75159666,97.97956908,-29.76691592,1.25645554,15.73562366,1.25645554,
17,Barrel 4/Bullet 1/HS44 - Barrel 4; Bullet1; Land 2 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 4,Bullet 1,Land 2,3.05500315,-4.11089558,-0.621113009,-0.763627331,22.95321922,10.59150294,
18,Barrel 3/Bullet 2/HS44 - Barrel 3; Bullet 2; Land 5 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 3,Bullet 2,Land 5,0.072403358,51.5324088,-17.08546502,18.12290325,63.1300496,80.67261751,
19,Unknowns/Bullet 'G'/HS44 - Unknown; Bullet G; Land 4 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'G',Land 4,-591.8299221,-203.6998583,-195.2150718,1.387518834,5224.766192,12185.29188,
20,Barrel 2/Bullet 1/HS44 - Barrel 2 - Bullet 1 - Land 3 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 2,Bullet 1,Land 3,-40.71409084,1812.209404,1.514268163,1146.345626,13.53748471,1151.913458,
21,Unknowns/Bullet 'X'/HS44 - Unknown; Bullet X; Land 2 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'X',Land 2,-59.00672263,612.9633911,20.35515666,131.8684027,99.53885061,196.0336821,
22,Barrel 1/Bullet 1/HS44 - Barrel 1 - Bullet 1 - Land 3 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 1,Bullet 1,Land 3,104.8217329,-1462.897084,19.7902332,-1679.329305,119.4890567,-1462.897084,
