barrel,bullet,land,scan_id,unique_id
Gun 1-A9,B1,L1,Gun 1-A9-B1-L1,Land AA
Gun 1-A9,B1,L2,Gun 1-A9-B1-L2,Land AB
Gun 1-A9,B1,L3,Gun 1-A9-B1-L3,Land AC
Gun 1-A9,B1,L4,Gun 1-A9-B1-L4,Land AD
Gun 1-A9,B1,L5,Gun 1-A9-B1-L5,Land AE
Gun 1-A9,B1,L6,Gun 1-A9-B1-L6,Land AF
Gun 1-A9,B2,L1,Gun 1-A9-B2-L1,Land AB
Gun 1-A9,B2,L2,Gun 1-A9-B2-L2,Land AC
Gun 1-A9,B2,L3,Gun 1-A9-B2-L3,Land AD
Gun 1-A9,B2,L4,Gun 1-A9-B2-L4,Land AE
Gun 1-A9,B2,L5,Gun 1-A9-B2-L5,Land AF
Gun 1-A9,B2,L6,Gun 1-A9-B2-L6,Land AA
Gun 1-A9,B3,L1,Gun 1-A9-B3-L1,Land AA
Gun 1-A9,B3,L2,Gun 1-A9-B3-L2,Land AB
Gun 1-A9,B3,L3,Gun 1-A9-B3-L3,Land AC
Gun 1-A9,B3,L4,Gun 1-A9-B3-L4,Land AD
Gun 1-A9,B3,L5,Gun 1-A9-B3-L5,Land AE
Gun 1-A9,B3,L6,Gun 1-A9-B3-L6,Land AF
Gun 1-C8,B1,L1,Gun 1-C8-B1-L1,Land BA
Gun 1-C8,B1,L2,Gun 1-C8-B1-L2,Land BB
Gun 1-C8,B1,L3,Gun 1-C8-B1-L3,Land BC
Gun 1-C8,B1,L4,Gun 1-C8-B1-L4,Land BD
Gun 1-C8,B1,L5,Gun 1-C8-B1-L5,Land BE
Gun 1-C8,B1,L6,Gun 1-C8-B1-L6,Land BF
Gun 1-C8,B2,L1,Gun 1-C8-B2-L1,Land BB
Gun 1-C8,B2,L2,Gun 1-C8-B2-L2,Land BC
Gun 1-C8,B2,L3,Gun 1-C8-B2-L3,Land BD
Gun 1-C8,B2,L4,Gun 1-C8-B2-L4,Land BE
Gun 1-C8,B2,L5,Gun 1-C8-B2-L5,Land BF
Gun 1-C8,B2,L6,Gun 1-C8-B2-L6,Land BA
Gun 1-C8,B3,L1,Gun 1-C8-B3-L1,Land BF
Gun 1-C8,B3,L2,Gun 1-C8-B3-L2,Land BA
Gun 1-C8,B3,L3,Gun 1-C8-B3-L3,Land BB
Gun 1-C8,B3,L4,Gun 1-C8-B3-L4,Land BC
Gun 1-C8,B3,L5,Gun 1-C8-B3-L5,Land BD
Gun 1-C8,B3,L6,Gun 1-C8-B3-L6,Land BE
Gun 1-F6,B1,L1,Gun 1-F6-B1-L1,Land CA
Gun 1-F6,B1,L2,Gun 1-F6-B1-L2,Land CB
Gun 1-F6,B1,L3,Gun 1-F6-B1-L3,Land CC
Gun 1-F6,B1,L4,Gun 1-F6-B1-L4,Land CD
Gun 1-F6,B1,L5,Gun 1-F6-B1-L5,Land CE
Gun 1-F6,B1,L6,Gun 1-F6-B1-L6,Land CF
Gun 1-F6,B2,L1,Gun 1-F6-B2-L1,Land CC
Gun 1-F6,B2,L2,Gun 1-F6-B2-L2,Land CD
Gun 1-F6,B2,L3,Gun 1-F6-B2-L3,Land CE
Gun 1-F6,B2,L4,Gun 1-F6-B2-L4,Land CF
Gun 1-F6,B2,L5,Gun 1-F6-B2-L5,Land CA
Gun 1-F6,B2,L6,Gun 1-F6-B2-L6,Land CB
Gun 1-F6,B3,L1,Gun 1-F6-B3-L1,Land CB
Gun 1-F6,B3,L2,Gun 1-F6-B3-L2,Land CC
Gun 1-F6,B3,L3,Gun 1-F6-B3-L3,Land CD
Gun 1-F6,B3,L4,Gun 1-F6-B3-L4,Land CE
Gun 1-F6,B3,L5,Gun 1-F6-B3-L5,Land CF
Gun 1-F6,B3,L6,Gun 1-F6-B3-L6,Land CA
Gun 1-L5,B1,L1,Gun 1-L5-B1-L1,Land DA
Gun 1-L5,B1,L2,Gun 1-L5-B1-L2,Land DB
Gun 1-L5,B1,L3,Gun 1-L5-B1-L3,Land DC
Gun 1-L5,B1,L4,Gun 1-L5-B1-L4,Land DD
Gun 1-L5,B1,L5,Gun 1-L5-B1-L5,Land DE
Gun 1-L5,B1,L6,Gun 1-L5-B1-L6,Land DF
Gun 1-L5,B2,L1,Gun 1-L5-B2-L1,Land DF
Gun 1-L5,B2,L2,Gun 1-L5-B2-L2,Land DA
Gun 1-L5,B2,L3,Gun 1-L5-B2-L3,Land DB
Gun 1-L5,B2,L4,Gun 1-L5-B2-L4,Land DC
Gun 1-L5,B2,L5,Gun 1-L5-B2-L5,Land DD
Gun 1-L5,B2,L6,Gun 1-L5-B2-L6,Land DE
Gun 1-L5,B3,L1,Gun 1-L5-B3-L1,Land DA
Gun 1-L5,B3,L2,Gun 1-L5-B3-L2,Land DB
Gun 1-L5,B3,L3,Gun 1-L5-B3-L3,Land DC
Gun 1-L5,B3,L4,Gun 1-L5-B3-L4,Land DD
Gun 1-L5,B3,L5,Gun 1-L5-B3-L5,Land DE
Gun 1-L5,B3,L6,Gun 1-L5-B3-L6,Land DF
Gun 1-M2,B1,L1,Gun 1-M2-B1-L1,Land EA
Gun 1-M2,B1,L2,Gun 1-M2-B1-L2,Land EB
Gun 1-M2,B1,L3,Gun 1-M2-B1-L3,Land EC
Gun 1-M2,B1,L4,Gun 1-M2-B1-L4,Land ED
Gun 1-M2,B1,L5,Gun 1-M2-B1-L5,Land EE
Gun 1-M2,B1,L6,Gun 1-M2-B1-L6,Land EF
Gun 1-M2,B2,L1,Gun 1-M2-B2-L1,Land EF
Gun 1-M2,B2,L2,Gun 1-M2-B2-L2,Land EA
Gun 1-M2,B2,L3,Gun 1-M2-B2-L3,Land EB
Gun 1-M2,B2,L4,Gun 1-M2-B2-L4,Land EC
Gun 1-M2,B2,L5,Gun 1-M2-B2-L5,Land ED
Gun 1-M2,B2,L6,Gun 1-M2-B2-L6,Land EE
Gun 1-M2,B3,L1,Gun 1-M2-B3-L1,Land EC
Gun 1-M2,B3,L2,Gun 1-M2-B3-L2,Land ED
Gun 1-M2,B3,L3,Gun 1-M2-B3-L3,Land EE
Gun 1-M2,B3,L4,Gun 1-M2-B3-L4,Land EF
Gun 1-M2,B3,L5,Gun 1-M2-B3-L5,Land EA
Gun 1-M2,B3,L6,Gun 1-M2-B3-L6,Land EB
Gun 1-P7,B1,L1,Gun 1-P7-B1-L1,Land FA
Gun 1-P7,B1,L2,Gun 1-P7-B1-L2,Land FB
Gun 1-P7,B1,L3,Gun 1-P7-B1-L3,Land FC
Gun 1-P7,B1,L4,Gun 1-P7-B1-L4,Land FD
Gun 1-P7,B1,L5,Gun 1-P7-B1-L5,Land FE
Gun 1-P7,B1,L6,Gun 1-P7-B1-L6,Land FF
Gun 1-P7,B2,L1,Gun 1-P7-B2-L1,Land FA
Gun 1-P7,B2,L2,Gun 1-P7-B2-L2,Land FB
Gun 1-P7,B2,L3,Gun 1-P7-B2-L3,Land FC
Gun 1-P7,B2,L4,Gun 1-P7-B2-L4,Land FD
Gun 1-P7,B2,L5,Gun 1-P7-B2-L5,Land EE
Gun 1-P7,B2,L6,Gun 1-P7-B2-L6,Land EF
Gun 1-P7,B3,L1,Gun 1-P7-B3-L1,Land FB
Gun 1-P7,B3,L2,Gun 1-P7-B3-L2,Land FC
Gun 1-P7,B3,L3,Gun 1-P7-B3-L3,Land FD
Gun 1-P7,B3,L4,Gun 1-P7-B3-L4,Land FE
Gun 1-P7,B3,L5,Gun 1-P7-B3-L5,Land FF
Gun 1-P7,B3,L6,Gun 1-P7-B3-L6,Land FA
Gun 1-R3,B1,L1,Gun 1-R3-B1-L1,Land GA
Gun 1-R3,B1,L2,Gun 1-R3-B1-L2,Land GB
Gun 1-R3,B1,L3,Gun 1-R3-B1-L3,Land GC
Gun 1-R3,B1,L4,Gun 1-R3-B1-L4,Land GD
Gun 1-R3,B1,L5,Gun 1-R3-B1-L5,Land GE
Gun 1-R3,B1,L6,Gun 1-R3-B1-L6,Land GF
Gun 1-R3,B2,L1,Gun 1-R3-B2-L1,Land GA
Gun 1-R3,B2,L2,Gun 1-R3-B2-L2,Land GB
Gun 1-R3,B2,L3,Gun 1-R3-B2-L3,Land GC
Gun 1-R3,B2,L4,Gun 1-R3-B2-L4,Land GD
Gun 1-R3,B2,L5,Gun 1-R3-B2-L5,Land GE
Gun 1-R3,B2,L6,Gun 1-R3-B2-L6,Land GF
Gun 1-R3,B3,L1,Gun 1-R3-B3-L1,Land GF
Gun 1-R3,B3,L2,Gun 1-R3-B3-L2,Land GA
Gun 1-R3,B3,L3,Gun 1-R3-B3-L3,Land GB
Gun 1-R3,B3,L4,Gun 1-R3-B3-L4,Land GC
Gun 1-R3,B3,L5,Gun 1-R3-B3-L5,Land GD
Gun 1-R3,B3,L6,Gun 1-R3-B3-L6,Land GE
Gun 1-U10,B1,L1,Gun 1-U10-B1-L1,Land HA
Gun 1-U10,B1,L2,Gun 1-U10-B1-L2,Land HB
Gun 1-U10,B1,L3,Gun 1-U10-B1-L3,Land HC
Gun 1-U10,B1,L4,Gun 1-U10-B1-L4,Land HD
Gun 1-U10,B1,L5,Gun 1-U10-B1-L5,Land HE
Gun 1-U10,B1,L6,Gun 1-U10-B1-L6,Land HF
Gun 1-U10,B2,L1,Gun 1-U10-B2-L1,Land HE
Gun 1-U10,B2,L2,Gun 1-U10-B2-L2,Land HF
Gun 1-U10,B2,L3,Gun 1-U10-B2-L3,Land HA
Gun 1-U10,B2,L4,Gun 1-U10-B2-L4,Land HB
Gun 1-U10,B2,L5,Gun 1-U10-B2-L5,Land HC
Gun 1-U10,B2,L6,Gun 1-U10-B2-L6,Land HD
Gun 1-U10,B3,L1,Gun 1-U10-B3-L1,Land HC
Gun 1-U10,B3,L2,Gun 1-U10-B3-L2,Land HD
Gun 1-U10,B3,L3,Gun 1-U10-B3-L3,Land HE
Gun 1-U10,B3,L4,Gun 1-U10-B3-L4,Land HF
Gun 1-U10,B3,L5,Gun 1-U10-B3-L5,Land HA
Gun 1-U10,B3,L6,Gun 1-U10-B3-L6,Land HB
Unknown,1-B,L1,Unknown-1-B-L1,Land BC
Unknown,1-B,L2,Unknown-1-B-L2,Land BD
Unknown,1-B,L3,Unknown-1-B-L3,Land BE
Unknown,1-B,L4,Unknown-1-B-L4,Land BF
Unknown,1-B,L5,Unknown-1-B-L5,Land BA
Unknown,1-B,L6,Unknown-1-B-L6,Land BB
Unknown,1-E,L1,Unknown-1-E-L1,Land CD
Unknown,1-E,L2,Unknown-1-E-L2,Land CE
Unknown,1-E,L3,Unknown-1-E-L3,Land CF
Unknown,1-E,L4,Unknown-1-E-L4,Land CA
Unknown,1-E,L5,Unknown-1-E-L5,Land CB
Unknown,1-E,L6,Unknown-1-E-L6,Land CC
Unknown,1-H,L1,Unknown-1-H-L1,Land EF
Unknown,1-H,L2,Unknown-1-H-L2,Land EA
Unknown,1-H,L3,Unknown-1-H-L3,Land EB
Unknown,1-H,L4,Unknown-1-H-L4,Land EC
Unknown,1-H,L5,Unknown-1-H-L5,Land ED
Unknown,1-H,L6,Unknown-1-H-L6,Land EE
Unknown,1-J,L1,Unknown-1-J-L1,Land FB
Unknown,1-J,L2,Unknown-1-J-L2,Land FC
Unknown,1-J,L3,Unknown-1-J-L3,Land FD
Unknown,1-J,L4,Unknown-1-J-L4,Land FE
Unknown,1-J,L5,Unknown-1-J-L5,Land FF
Unknown,1-J,L6,Unknown-1-J-L6,Land FA
Unknown,1-K,L1,Unknown-1-K-L1,Land GA
Unknown,1-K,L2,Unknown-1-K-L2,Land GB
Unknown,1-K,L3,Unknown-1-K-L3,Land GC
Unknown,1-K,L4,Unknown-1-K-L4,Land GD
Unknown,1-K,L5,Unknown-1-K-L5,Land GE
Unknown,1-K,L6,Unknown-1-K-L6,Land GF
Unknown,1-N,L1,Unknown-1-N-L1,Land AD
Unknown,1-N,L2,Unknown-1-N-L2,Land AE
Unknown,1-N,L3,Unknown-1-N-L3,Land AF
Unknown,1-N,L4,Unknown-1-N-L4,Land AA
Unknown,1-N,L5,Unknown-1-N-L5,Land AB
Unknown,1-N,L6,Unknown-1-N-L6,Land AC
Unknown,1-Q,L1,Unknown-1-Q-L1,Land IA
Unknown,1-Q,L2,Unknown-1-Q-L2,Land IB
Unknown,1-Q,L3,Unknown-1-Q-L3,Land IC
Unknown,1-Q,L4,Unknown-1-Q-L4,Land ID
Unknown,1-Q,L5,Unknown-1-Q-L5,Land IE
Unknown,1-Q,L6,Unknown-1-Q-L6,Land IF
Unknown,1-T,L1,Unknown-1-T-L1,Land DA
Unknown,1-T,L2,Unknown-1-T-L2,Land DB
Unknown,1-T,L3,Unknown-1-T-L3,Land DC
Unknown,1-T,L4,Unknown-1-T-L4,Land DD
Unknown,1-T,L5,Unknown-1-T-L5,Land DE
Unknown,1-T,L6,Unknown-1-T-L6,Land DF
Unknown,1-Y,L1,Unknown-1-Y-L1,Land KA
Unknown,1-Y,L2,Unknown-1-Y-L2,Land KB
Unknown,1-Y,L3,Unknown-1-Y-L3,Land KC
Unknown,1-Y,L4,Unknown-1-Y-L4,Land KD
Unknown,1-Y,L5,Unknown-1-Y-L5,Land KE
Unknown,1-Y,L6,Unknown-1-Y-L6,Land KF
